headline,label
You Won't Believe What This IIT Student Did That Shocked His Professors,1
THIS Is Why Indians Are So Different From The Rest Of The World,1
10 Signs Your Partner Is Secretly Cheating On You (Number 7 Will Shock You),1
What Happened Next Will Leave You Speechless,1
Bollywood Actress EXPOSES Dark Secret That Changes Everything,1
The Real Reason Why India Will NEVER Become A Superpower,1
"This One Trick Will Make You Rich In 30 Days, Bankers Don't Want You To Know",1
Indians Are Doing THIS In America And Americans Can't Handle It,1
Shocking Truth About Your Favourite Celebrity REVEALED,1
Why Every Indian Should Know THIS Secret Before It's Too Late,1
The REAL Reason Modi Is Doing THIS Will Blow Your Mind,1
Watch: Moment That Made The Entire Nation Cry,1
This 22-Year-Old Made ₹1 Crore In 3 Months And Here's Exactly How,1
Scientists Are Baffled By What This Indian Village Has Been Hiding For Centuries,1
The Dark Truth About Indian Education That No One Wants To Admit,1
Supreme Court Issues Notice to Centre on Electoral Bond Petitions,0
"India's GDP Growth Projected at 6.8% for FY2025, IMF Says",0
Parliament Passes New Data Protection Bill After Three-Year Deliberation,0
"Cyclone Remal Makes Landfall in West Bengal, Red Alert in Three Districts",0
ISRO Successfully Tests Cryogenic Engine for Gaganyaan Mission,0
RBI Keeps Repo Rate Unchanged at 6.5% for Sixth Consecutive Meeting,0
India Signs Free Trade Agreement with European Union After 16 Years of Talks,0
Delhi Air Quality Index Crosses 400 for Third Consecutive Day,0
New Study Finds Microplastics in Human Blood Samples Across 22 Indian Cities,0
"Manipur Violence: 14 Dead in Fresh Clashes, Army Deployed in Four Districts",0
India Abstains on UN Vote on Gaza Ceasefire Resolution,0
"Union Budget 2025: Key Allocations for Defence, Education and Infrastructure",0
Wheat Production Expected to Drop 4% Due to Unseasonal Rains in Punjab,0
"CBI Files Chargesheet in ₹3,800 Crore Scam Linked to Former State Minister",0
IIT Bombay Researchers Develop Low-Cost Water Purification Using Rice Husk,0
